tax_path,tax_name,min_ani,avg_reads_per_occurrence,phylum,family
"118458:s__JADJDM01 sp016702705:""species""	118457:g__JADJDM01:""genus""	52828:f__B-17BO:""family""	5782:o__AKYH767:""order""	65:c__Bacteroidia:""class""	22:p__Bacteroidota:""phylum""	4:k__Bacteria:""kingdom""	3:l__Bacteria:""lineage""	2:d__Bacteria:""superkingdom""	1:root:""no rank""",JADJDM01 sp016702705,93.6515026824998,1730.5185185185185,Bacteroidota,B-17BO
"120857:s__JAFLBH01 sp016787445:""species""	118850:g__JAFLBH01:""genus""	52828:f__B-17BO:""family""	5782:o__AKYH767:""order""	65:c__Bacteroidia:""class""	22:p__Bacteroidota:""phylum""	4:k__Bacteria:""kingdom""	3:l__Bacteria:""lineage""	2:d__Bacteria:""superkingdom""	1:root:""no rank""",JAFLBH01 sp016787445,92.50495809926096,118.1923076923077,Bacteroidota,B-17BO
"124352:s__JAFGQI01 sp016935755:""species""	124351:g__JAFGQI01:""genus""	9940:f__UBA4823:""family""	943:o__Anaerolineales:""order""	942:c__Anaerolineae:""class""	37:p__Chloroflexota:""phylum""	4:k__Bacteria:""kingdom""	3:l__Bacteria:""lineage""	2:d__Bacteria:""superkingdom""	1:root:""no rank""",JAFGQI01 sp016935755,92.40986594505708,111.8695652173913,Chloroflexota,UBA4823
"136480:s__JAGGAJ01 sp017889845:""species""	136479:g__JAGGAJ01:""genus""	5732:f__MBNT15:""family""	5731:o__MBNT15:""order""	5730:c__MBNT15_B:""class""	5729:p__MBNT15:""phylum""	4:k__Bacteria:""kingdom""	3:l__Bacteria:""lineage""	2:d__Bacteria:""superkingdom""	1:root:""no rank""",JAGGAJ01 sp017889845,92.86711021760344,395.96,MBNT15,MBNT15
"137272:s__UBA952 sp017983465:""species""	5376:g__UBA952:""genus""	1591:f__Crocinitomicaceae:""family""	431:o__Flavobacteriales:""order""	65:c__Bacteroidia:""class""	22:p__Bacteroidota:""phylum""	4:k__Bacteria:""kingdom""	3:l__Bacteria:""lineage""	2:d__Bacteria:""superkingdom""	1:root:""no rank""",UBA952 sp017983465,93.60696898104972,99.77272727272727,Bacteroidota,Crocinitomicaceae
"176311:s__UBA952 sp903939755:""species""	5376:g__UBA952:""genus""	1591:f__Crocinitomicaceae:""family""	431:o__Flavobacteriales:""order""	65:c__Bacteroidia:""class""	22:p__Bacteroidota:""phylum""	4:k__Bacteria:""kingdom""	3:l__Bacteria:""lineage""	2:d__Bacteria:""superkingdom""	1:root:""no rank""",UBA952 sp903939755,93.97051280913225,1976.5172413793102,Bacteroidota,Crocinitomicaceae
"206302:s__Planktophila versatilis:""species""	10384:g__Planktophila:""genus""	2856:f__Nanopelagicaceae:""family""	2855:o__Nanopelagicales_A:""order""	344:c__Actinobacteria:""class""	343:p__Actinobacteriota:""phylum""	4:k__Bacteria:""kingdom""	3:l__Bacteria:""lineage""	2:d__Bacteria:""superkingdom""	1:root:""no rank""",Planktophila versatilis,94.37770920598312,79.48,Actinobacteriota,Nanopelagicaceae
"213640:s__Phytoplasma ziziphi:""species""	37277:g__Phytoplasma:""genus""	630:f__Acholeplasmataceae:""family""	629:o__Acholeplasmatales:""order""	87:c__Bacilli:""class""	86:p__Firmicutes:""phylum""	4:k__Bacteria:""kingdom""	3:l__Bacteria:""lineage""	2:d__Bacteria:""superkingdom""	1:root:""no rank""",Phytoplasma ziziphi,94.07587018825504,355.1304347826087,Firmicutes,Acholeplasmataceae
"230431:s__Flavobacterium buctense:""species""	1300:g__Flavobacterium:""genus""	653:f__Flavobacteriaceae:""family""	431:o__Flavobacteriales:""order""	65:c__Bacteroidia:""class""	22:p__Bacteroidota:""phylum""	4:k__Bacteria:""kingdom""	3:l__Bacteria:""lineage""	2:d__Bacteria:""superkingdom""	1:root:""no rank""",Flavobacterium buctense,93.557951589995,86.31818181818181,Bacteroidota,Flavobacteriaceae
"239789:s__Streptomyces sp900116325:""species""	3648:g__Streptomyces:""genus""	3647:f__Streptomycetaceae:""family""	3646:o__Streptomycetales_A:""order""	344:c__Actinobacteria:""class""	343:p__Actinobacteriota:""phylum""	4:k__Bacteria:""kingdom""	3:l__Bacteria:""lineage""	2:d__Bacteria:""superkingdom""	1:root:""no rank""",Streptomyces sp900116325,93.29173908168696,124.44,Actinobacteriota,Streptomycetaceae
