Middle_depth,Nostoc,Scytonema,Saccharomyces,Aspergillus,Epichloe,Nannochloropsis,Ichthyophthirius,Lumbricus,Biomphalaria,Culex,Drosophila,Phasianus,Sorex,Microtus,Monoraphidium,Hirsutella,Leptolyngbya,Armillaria,Lachnellula,Darwinula,Aphanomyces,Nemurella,Isoperla,Chamaesiphon,Oppiella,Myodes,Dolichospermum,Boeremia,Ilyonectria,Schizostauron,Chlamydomonas,Colletotrichum,Tubifex,Daphnia,Gallus,Sus,Ovis,Brettanomyces,Nemoura,Eurytemora,Mychonastes,Limnephilus,Synechococcus,Pseudanabaena,Oscillatoria,Melampsora,Puccinia,Suillus,Melolontha,Salmo,Bufo,Rana,Myotis,Homo,Capra,Acomys,Rattus,Pipistrellus,Coregonus,Barbus,Hyaloscypha,Leuctra,Cyanobium,Aphanizomenon,Calothrix,Hydrurus,Eimeria,Caenorhabditis,Ixodes,Anopheles,Acipenser,Botrytis,Coccomyxa,Coniophora,Megachile,Auxenochlorella,Notodromas,Parasteatoda,Parastagonospora,Nitella,Phytophthora,Aureobasidium,Dolichovespula,Perca,Equus,Arvicola,Mus,Gloeobacter,Asterionella,Microcoleus,Planktothrix,Piscicola,Varroa,Polydrusus,Parastrongyloides,Cyanistes,Cyprideis,Psylliodes,Discostella,Ulnaria,Acrobasis,Sphaerospermopsis,Tilletiopsis,Skeletonema,Talaromyces,Ustilago,Plasmodium,Cyprinus,Salvelinus,Meles,Bison,Bos,Diaporthe,Pseudogymnoascus,Operophtera,Brachyptera,Thermosynechococcus,Truncatella,Bibio,Rhizophagus,Medioppia,Anabaena,Debaryomyces,Metarhizium,Chironomus,Priapulus,Daldinia,Cordyceps,Geitlerinema,Paraphaeosphaeria,Sicus,Kovacikia,Alternaria,Rhagoletis,Bombus,Andrena,Peronospora,Morchella,Vulpes,Castor,Tuber,Hypoxylon,Cylindrospermum,Aphis,Xestia,Hydra,Thalassiosira,Neonectria,Pochonia,Cryptomonas,Acyrthosiphon,Talpa,Glyphotaelius,Esox,Gaeumannomyces,Balearica,Chroococcidiopsis,Spiniferodinium,Scherffelia,Fusarium,Anguilla,Erinaceus,Sciurus,Epinotia,Erithacus,Choricystis,Tenthredo,Diaphanosoma,Phosphuga,Heterocope,Hygrocybe,Mollisia,Sheathia,Eubosmina,Cosmia,Lutra,Cervus,Amphipyra,Anas,Mustela,Lymantria,Phaeoacremonium,Oryctolagus,Eptesicus,Ennomos,Carassius,Gavia,Philonthus,Trachydiscus,Didymosphenia,Monodopsis,Paxillus,Trichoderma,Myzus,Chara,Wolfiporia,Crinalium,Annulohypoxylon,Helobdella,Formica,Rangifer,Lagopus
350.5,123,0,0,0,0,0,0,472,0,0,0,0,0,0,0,0,0,631,27,0,0,0,38,122,31,393,318,58,42,0,0,0,0,0,0,27,117,0,21,0,0,0,0,17,0,0,22,0,0,81,0,120,0,0,36,0,0,0,209,94,161,181,173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,322,0,38,0,0,350,49,0,0,20,0,0,0,0,0,0,83,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114,0,102,0,0,21,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,28,0,0,0,104,15,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,18,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
408.0,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,1038,0,0,0,0,0,0,0,0,0,247,0,0,25,0,0,0,0,17,0,17,0,0,0,184,0,0,0,0,68,0,0,0,170,0,0,374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,453,0,85,0,0,467,0,0,0,0,0,0,0,0,0,0,119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
447.5,0,0,0,0,0,0,0,0,0,0,0,0,32,63,0,0,0,0,0,0,0,0,0,0,0,758,0,0,28,0,0,0,0,0,0,62,88,0,0,0,0,0,0,0,0,0,0,0,0,147,0,142,0,21,0,0,0,41,190,141,0,270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0,372,0,108,0,0,556,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,87,0,0,0,66,0,28,0,0,30,0,205,0,0,0,116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,65,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
500.5,103,0,0,29,0,0,0,404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,0,0,589,0,24,30,0,0,0,0,0,0,150,0,0,0,0,0,0,0,0,0,0,0,0,0,187,0,149,0,28,47,0,0,54,260,132,0,309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,45,0,420,0,165,0,0,563,22,39,0,0,0,0,0,36,0,74,125,0,0,0,0,0,0,0,0,114,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114,0,0,0,0,134,0,44,0,0,0,0,19,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
550.5,43,0,0,0,0,0,0,145,0,0,0,0,0,27,0,0,0,0,11,0,0,0,0,0,25,262,0,0,0,0,0,0,0,0,0,36,0,0,0,46,0,0,0,0,0,0,0,0,0,119,0,64,0,0,0,0,0,0,208,50,0,140,207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,503,0,24,0,0,600,0,196,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,74,0,0,0,0,54,0,46,0,0,0,0,24,0,0,0,0,0,0,0,0,0,10,0,0,0,0,25,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
605.5,0,0,0,0,0,0,0,283,0,0,0,0,49,63,0,59,60,391,0,0,0,0,54,91,0,989,0,0,19,0,0,21,0,0,0,103,0,0,24,0,0,20,0,15,0,31,0,0,0,107,26,114,0,17,33,0,0,0,134,79,0,332,310,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,208,0,49,0,0,297,17,77,17,0,0,0,0,0,0,60,0,0,0,0,0,0,0,23,0,30,0,0,11,0,0,0,0,0,0,0,203,66,0,0,21,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,124,28,0,0,0,237,0,28,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
624.3,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,68,0,0,0,123,0,0,0,0,0,1203,0,0,0,0,0,0,0,0,0,156,0,11,0,43,0,0,0,0,0,0,0,0,0,126,0,88,0,12,51,0,0,0,137,96,71,392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,38,0,234,0,172,0,0,179,22,151,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
644.3,80,0,0,0,0,0,0,341,0,0,0,0,0,80,0,47,0,476,0,0,0,15,0,0,13,1170,0,0,0,0,0,0,0,0,0,307,0,0,0,0,0,0,0,0,0,0,0,0,0,158,36,110,0,0,0,0,31,77,0,88,0,375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,0,0,208,0,0,0,0,298,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175,0,0,0,48,0,0,0,0,0,0,237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
683.4,0,0,0,0,0,0,0,456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,0,1093,14,0,0,0,0,18,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,151,0,136,0,0,0,0,0,0,166,0,0,368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,476,0,0,0,0,571,0,104,0,0,0,0,0,0,0,0,62,0,0,0,14,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,23,0,0,0,202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,35,10,36,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
700.5,66,0,0,0,0,0,0,313,0,0,0,0,0,0,0,0,0,339,0,106,0,0,47,77,0,1539,0,0,19,0,0,0,0,0,0,107,10,0,0,40,0,0,266,0,38,0,0,0,0,155,0,98,0,0,22,0,0,88,311,80,21,357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,328,0,0,0,0,422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,15,0,0,0,39,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
